City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hilo,1,US,1528912560,73,19.71,-155.08,75.2,15.68
1,broome,0,GB,1528914000,63,52.47,1.45,69.8,13.87
2,mataura,12,NZ,1528915903,83,-46.19,168.86,25.63,3.49
3,busselton,76,AU,1528915893,100,-33.64,115.35,60.1,7.52
4,le vauclin,75,MQ,1528914600,62,14.55,-60.84,86.0,20.8
5,peniche,20,PT,1528914600,72,39.36,-9.38,64.4,19.46
6,ilulissat,75,GL,1528912200,80,69.22,-51.1,35.6,4.7
7,bambous virieux,75,MU,1528912800,69,-20.34,57.76,75.2,16.11
8,sawtell,0,AU,1528914600,100,-30.38,153.1,44.6,5.82
9,shiyan,44,CN,1528916222,89,32.65,110.78,69.37,1.7
10,hofn,90,IS,1528913400,93,64.25,-15.21,50.0,6.93
11,ushuaia,0,AR,1528912800,100,-54.81,-68.31,42.8,4.7
12,cape town,0,ZA,1528912800,30,-33.93,18.42,68.0,16.11
13,saint george,20,GR,1528912200,69,39.45,22.34,77.0,6.93
14,hobart,20,AU,1528914600,81,-42.88,147.33,42.8,5.82
15,sao joao da barra,0,BR,1528912800,51,-21.64,-41.05,86.0,9.17
16,mahebourg,75,MU,1528912800,69,-20.41,57.7,75.2,16.11
17,rikitea,12,PF,1528915900,100,-23.12,-134.97,71.98,10.2
18,albany,90,US,1528912500,73,42.65,-73.75,69.8,10.29
19,qasigiannguit,75,GL,1528912200,80,68.82,-51.19,35.6,4.7
20,norman wells,90,CA,1528912800,75,65.28,-126.83,44.6,6.93
21,hermanus,0,ZA,1528915893,28,-34.42,19.24,74.23,9.98
22,bethel,1,US,1528912380,62,60.79,-161.76,53.6,8.05
23,storforshei,0,NO,1528914000,57,66.4,14.52,50.0,4.7
24,sorland,20,NO,1528912200,100,67.67,12.69,48.2,4.7
25,bluff,64,AU,1528915892,86,-23.58,149.07,59.11,2.15
26,kitwe,0,ZM,1528916302,52,-12.81,28.21,60.01,6.62
27,avarua,40,CK,1528912800,60,-21.21,-159.78,73.4,9.17
28,port elizabeth,75,US,1528912500,69,39.31,-74.98,80.6,8.05
29,ponta do sol,44,BR,1528915915,58,-20.63,-46.0,80.71,4.27
30,butaritari,56,KI,1528915903,100,3.07,172.79,80.8,6.4
31,castro,0,CL,1528915894,84,-42.48,-73.76,46.42,3.71
32,kapaa,40,US,1528912560,78,22.08,-159.32,78.8,14.99
33,upernavik,92,GL,1528915905,100,72.79,-56.15,30.22,2.82
34,airai,80,TL,1528915950,95,-8.93,125.41,68.02,1.92
35,tuktoyaktuk,20,CA,1528912800,53,69.44,-133.03,51.8,9.17
36,verkhnyaya inta,64,RU,1528916302,55,65.99,60.32,54.79,6.4
37,naze,68,NG,1528915954,94,5.43,7.07,76.75,5.61
38,paamiut,88,GL,1528915992,100,61.99,-49.67,35.8,11.99
39,mednogorsk,48,RU,1528916303,41,51.41,57.59,57.13,5.73
40,kalmunai,24,LK,1528915978,77,7.42,81.82,80.71,6.62
41,east london,0,ZA,1528912800,34,-33.02,27.91,68.0,10.29
42,vestmannaeyjar,40,IS,1528914300,87,63.44,-20.27,48.2,8.05
43,barrow,92,AR,1528915894,75,-38.31,-60.23,48.4,9.75
44,marsh harbour,88,BS,1528915975,95,26.54,-77.06,82.87,8.63
45,alghero,40,IT,1528914000,73,40.56,8.32,69.8,13.87
46,abha,5,SA,1528912800,47,18.22,42.5,75.2,6.93
47,onega,68,RU,1528916303,90,63.91,38.09,44.26,10.98
48,nelson bay,0,AU,1528914600,93,-32.72,152.14,41.0,22.28
49,karratha,12,AU,1528916003,40,-20.74,116.85,59.38,13.78
50,carballo,20,ES,1528914600,77,43.21,-8.69,60.8,9.17
51,puerto ayora,75,EC,1528912800,57,-0.74,-90.35,80.6,19.46
52,torbay,90,CA,1528914660,93,47.66,-52.73,48.2,27.51
53,padang,8,ID,1528915912,100,-0.92,100.36,82.6,0.47
54,kodinsk,24,RU,1528916304,85,58.6,99.18,59.02,3.6
55,vila velha,20,BR,1528912800,62,-3.71,-38.6,86.0,17.22
56,chokurdakh,0,RU,1528915956,92,70.62,147.9,34.63,3.04
57,pevek,0,RU,1528915945,72,69.7,170.27,41.38,6.4
58,vanderhoof,68,CA,1528916304,71,54.02,-124.02,53.35,3.38
59,iqaluit,75,CA,1528912800,94,63.75,-68.52,35.6,14.99
60,kurilsk,92,RU,1528916304,99,45.23,147.88,43.63,10.76
61,yellowknife,75,CA,1528912800,81,62.45,-114.38,53.6,2.24
62,muros,20,ES,1528914600,77,42.77,-9.06,60.8,14.99
63,arraial do cabo,0,BR,1528912800,61,-22.97,-42.02,84.2,3.36
64,comodoro rivadavia,20,AR,1528912800,52,-45.87,-67.48,44.6,8.05
65,saint-philippe,90,CA,1528913700,60,45.36,-73.48,80.6,8.05
66,provideniya,0,RU,1528915886,92,64.42,-173.23,40.57,11.21
67,dawei,92,MM,1528916305,100,14.07,98.19,71.98,2.48
68,amahai,88,ID,1528916305,100,-3.31,129.0,78.82,6.85
69,neftekumsk,0,RU,1528916305,35,44.75,44.99,72.88,15.01
70,shimoda,36,JP,1528916305,100,34.7,138.93,69.91,3.15
71,bajil,0,ES,1528916306,26,38.23,-2.07,77.65,9.64
72,ribeira grande,75,PT,1528914600,88,38.52,-28.7,73.4,9.17
73,mar del plata,0,AR,1528915888,81,-46.43,-67.52,40.21,7.18
74,maceio,75,BR,1528912800,83,-9.67,-35.74,77.0,5.82
75,liverpool,20,GB,1528914000,63,53.41,-2.98,66.2,14.99
76,san patricio,0,PY,1528915917,64,-26.98,-56.83,54.7,4.94
77,biggar,20,GB,1528914000,82,55.62,-3.52,59.0,16.11
78,thompson,75,CA,1528912800,82,55.74,-97.86,59.0,4.7
79,maniitsoq,56,GL,1528916306,94,65.42,-52.9,36.43,6.17
80,coihaique,0,CL,1528912800,79,-45.58,-72.07,39.2,5.82
81,mildura,8,AU,1528916306,91,-34.18,142.16,44.98,11.21
82,port alfred,0,ZA,1528915887,57,-33.59,26.89,72.43,9.75
83,chadan,64,RU,1528916307,81,51.29,91.58,53.71,1.36
84,carnarvon,0,ZA,1528915886,40,-30.97,22.13,51.28,11.65
85,port blair,92,IN,1528915966,99,11.67,92.75,83.77,23.06
86,punta arenas,0,CL,1528912800,80,-53.16,-70.91,39.2,11.41
87,qaanaaq,0,GL,1528915915,94,77.48,-69.36,33.28,6.62
88,san quintin,90,PH,1528912800,88,17.54,120.52,78.8,11.41
89,panaba,56,MX,1528916307,76,21.28,-88.27,83.86,9.75
90,mount isa,75,AU,1528914600,100,-20.73,139.49,64.4,5.84
91,atuona,0,PF,1528915896,100,-9.8,-139.03,79.81,15.01
92,maragogi,92,BR,1528916307,84,-9.01,-35.22,79.45,11.21
93,pinega,92,RU,1528916307,79,64.7,43.39,40.03,9.86
94,brae,75,GB,1528914000,87,60.4,-1.35,51.8,16.11
95,narsaq,20,GL,1528912200,47,60.91,-46.05,55.4,13.87
96,samana,40,EC,1528912800,74,0.12,-76.97,82.4,2.24
97,grand gaube,75,MU,1528912800,69,-20.01,57.66,75.2,16.11
98,anadyr,0,RU,1528912800,44,64.73,177.51,59.0,4.47
99,katherine,12,AU,1528914600,82,-14.47,132.26,66.2,2.82
100,taoudenni,0,ML,1528916312,10,22.68,-3.98,106.09,12.1
101,port moresby,88,PG,1528915939,98,-9.47,147.16,77.38,20.49
102,dingle,68,PH,1528915988,85,11.0,122.67,78.28,6.96
103,jamame,36,SO,1528916312,79,0.07,42.75,77.47,10.98
104,georgetown,40,GY,1528912800,66,6.8,-58.16,86.0,16.11
105,marsa matruh,0,EG,1528912800,54,31.35,27.25,80.6,6.93
106,sulangan,76,PH,1528916312,100,11.14,123.72,85.3,16.13
107,vostok,24,RU,1528915963,89,46.45,135.83,40.21,2.37
108,colac,92,AU,1528916312,93,-38.34,143.59,48.22,8.86
109,ewo,0,CG,1528916312,75,-0.88,14.81,76.93,3.6
110,manicore,40,BR,1528912800,52,-5.81,-61.3,93.2,2.24
111,san cristobal,40,EC,1528912800,40,-0.39,-78.55,68.0,16.11
112,severo-kurilsk,92,RU,1528915921,100,50.68,156.12,37.96,15.68
113,sitka,36,US,1528915971,78,37.17,-99.65,80.89,15.12
114,mtambile,36,TZ,1528916313,99,-5.38,39.7,79.45,20.15
115,tilichiki,0,RU,1528915952,79,60.47,166.1,42.55,2.82
116,tiksi,100,RU,1528915790,86,71.64,128.87,48.13,3.49
117,ayan,0,TR,1528915988,42,40.67,33.6,61.72,1.92
118,morondava,0,MG,1528915964,85,-20.3,44.28,73.33,7.07
119,cherskiy,8,RU,1528915929,42,68.75,161.3,59.11,1.92
120,jamestown,80,AU,1528915822,95,-33.21,138.6,44.71,12.21
121,chinsali,0,ZM,1528916313,50,-10.55,32.07,63.16,8.86
122,goose creek,75,US,1528916100,69,38.32,-85.65,82.4,6.93
123,khatanga,0,RU,1528915904,68,71.98,102.47,58.48,6.62
124,marawi,12,PH,1528916313,99,8.0,124.29,64.15,2.26
125,ilyich,12,RU,1528916313,73,44.09,41.37,58.3,1.36
126,ambovombe,0,MG,1528916314,89,-25.18,46.09,69.46,15.79
127,faya,5,SA,1528912800,47,18.39,42.45,75.2,6.93
128,kaitangata,100,NZ,1528915896,94,-46.28,169.85,41.56,5.84
129,terney,0,RU,1528916314,96,45.05,136.61,44.53,5.95
130,warrnambool,92,AU,1528916307,100,-38.38,142.48,51.64,16.91
131,san juan de uraba,8,CO,1528916314,100,8.76,-76.53,83.05,8.19
132,bilibino,0,RU,1528915953,38,68.06,166.44,62.26,2.37
133,price,1,US,1528912380,8,39.6,-110.81,86.0,6.93
134,poso,48,ID,1528916315,100,-1.4,120.75,77.29,4.72
135,kodiak,1,US,1528912380,41,39.95,-94.76,78.8,9.17
136,sao miguel,76,BR,1528916315,98,4.52,-61.01,69.1,3.83
137,alyangula,0,AU,1528916315,100,-13.85,136.42,74.5,8.97
138,galle,20,US,1528912920,44,29.74,-97.91,93.2,9.17
139,bredasdorp,0,ZA,1528915896,58,-34.53,20.04,67.75,11.32
140,gallatin,75,US,1528914600,78,36.39,-86.45,80.6,6.93
141,port macquarie,0,AU,1528912800,100,-31.43,152.91,41.0,2.24
142,guerrero negro,0,MX,1528915914,62,27.97,-114.04,74.23,4.72
143,micheweni,44,TZ,1528915965,100,-4.97,39.83,79.72,20.27
144,high level,90,CA,1528912800,93,58.52,-117.13,42.8,2.24
145,hohhot,0,CN,1528912800,44,40.81,111.65,59.0,4.47
146,hithadhoo,12,MV,1528915914,100,-0.6,73.08,83.5,6.29
147,taltal,0,CL,1528916316,74,-25.41,-70.49,61.18,2.93
148,vaini,92,IN,1528915890,99,15.34,74.49,70.09,4.5
